method,seed,solution,water,deficit,excess,schedule
NSGA_II,261401,0,12.545355217866954,136.0969477321324,0.0,"[0.0, 1.5308537898364905, 6.106287313858622, 1.727709133057608, 1.0211225103265096, 0.16024016492231496, 0.5422116415808035, 0.4781631906328151, 0.21712642689958558, 0.2726985052078066, 0.18997300792450023, 0.17574708735449138, 0.0, 0.12322244626540749]"
NSGA_II,261401,1,12.409838614215674,140.03553700901327,0.0,"[0.0, 4.202655030374416, 2.302949130074621, 0.962990754004275, 2.1988411909026975, 0.23696351718803935, 0.5655619869965044, 0.3374478181325778, 0.429100827707997, 0.6289909241855312, 0.44392401595380204, 0.05035671076624097, 0.014550451354862215, 0.03550625657410731]"
NSGA_II,261401,2,11.539376382027985,143.9890745084192,0.0,"[0.0, 5.063607535971047, 1.8863947293771894, 1.883239437511873, 0.15850131175707316, 0.16295230243012299, 1.052351678577102, 0.48866652015434703, 0.0, 0.42787847379970373, 0.2501963239896999, 0.11222416578324644, 0.0, 0.05336390267658005]"
NSGA_II,261401,3,17.17190426364965,90.98039308896773,0.0,"[0.23228723962225029, 4.704230507026793, 5.367684189773052, 1.7468082353717498, 2.3286556031611454, 1.1311645648463071, 0.583663629947985, 0.3623654892987091, 0.02105614690596558, 0.06104495508291763, 0.3363648760117884, 0.2389382053526164, 0.008502750319728438, 0.04913787092864459]"
NSGA_II,261401,4,13.273483748366852,126.67470454504198,0.0,"[0.3521458190085801, 4.161970448050411, 5.385742591298908, 0.0, 1.0136066094696639, 0.16395225142706166, 0.8511316043989856, 0.43667601324729877, 0.34287943555557887, 0.07373339054105768, 0.25536995763173814, 0.1796488632332913, 0.0, 0.056626764504276804]"
NSGA_II,261401,5,13.012918215965163,130.27795536513582,0.0,"[0.4479146964660119, 4.641042606737083, 4.288801248881808, 0.40513534174142485, 0.6782535543557856, 0.13011202395253574, 0.8436310069627508, 0.31720217709345994, 0.5918722517589572, 0.048952474193765715, 0.39065977614058645, 0.10369975663224315, 0.10771020819733075, 0.017931092851419528]"
NSGA_II,261401,6,14.688285981289177,114.11571103628887,0.0,"[0.48181439830472267, 4.68454907044155, 4.778236350963587, 0.7154725644543493, 1.6472475929482364, 0.22850806973647048, 0.7760849506181884, 0.31747981568982164, 0.45435944468458245, 0.02316233248818747, 0.38804852218095204, 0.16895607464402293, 0.005502606257465601, 0.01886418787704119]"
NSGA_II,261401,7,18.10650659274191,82.95472200878211,0.0,"[0.5503293348197174, 4.127070271389847, 4.988718872786402, 1.6125783227389898, 5.024455757909132, 0.38370771657419855, 0.6185315607524663, 0.0, 0.1020602818624319, 0.0, 0.3764594208099016, 0.28453116682979096, 0.01928653427922422, 0.018777351989808583]"
NSGA_II,261401,8,18.674926007632283,78.40736668965911,0.0,"[0.5503293348197174, 4.695489686280222, 4.988718872786402, 1.6125783227389898, 5.024455757909132, 0.38370771657419855, 0.6185315607524663, 0.0, 0.1020602818624319, 0.0, 0.3764594208099016, 0.28453116682979096, 0.01928653427922422, 0.018777351989808583]"
NSGA_II,261401,9,10.708972465106456,155.7400961209542,0.0,"[0.7258577243118318, 3.500252247950608, 1.3904817044502198, 0.9776329521864612, 1.4101790165886459, 0.23910521281981778, 0.6091349787338711, 0.6238571415780193, 0.6956654974546118, 0.0, 0.3118921497577872, 0.09960758505928122, 0.08615364092658101, 0.039152613288717206]"
NSGA_II,261401,10,13.779462499726828,122.06014154367642,0.0,"[0.7396896619898132, 3.6132921281332653, 5.960802413721336, 1.1519447992260228, 0.0, 0.16749403204899813, 0.7794754528684791, 0.5541083901960289, 0.0, 0.4447842478318569, 0.18284719896986237, 0.05266389806398045, 0.08800340374080626, 0.044356872936378876]"
NSGA_II,261401,11,8.028241324744544,179.93615867047075,0.0,"[0.8570094475284858, 1.7085417867580521, 1.0351089593384852, 1.1129861787761601, 0.9148753513739154, 0.23205877696008304, 0.6167850922088979, 0.6074981590669959, 0.0, 0.46868313098430603, 0.242020729298561, 0.11899572393176516, 0.0, 0.11367798851883479]"
NSGA_II,261401,12,8.14705084029167,179.81734915492362,0.0,"[0.8570094475284858, 1.7085417867580521, 1.0351089593384852, 1.1129861787761601, 0.9148753513739154, 0.23205877696008304, 0.6167850922088979, 0.6074981590669959, 0.0, 0.46868313098430603, 0.242020729298561, 0.11899572393176516, 0.09542500166703223, 0.13706250239892886]"
NSGA_II,261401,13,9.969388976293489,161.6841764378857,0.0,"[0.8609875147860333, 3.4966996154383727, 1.0450325357854342, 1.0303603012785767, 1.1219829827736476, 0.23107170855880702, 0.6178454321174291, 0.606264662679334, 0.03375593489321324, 0.2612111230620331, 0.31093403972317984, 0.10069405579973965, 0.09594919859745783, 0.15659987080023302]"
NSGA_II,261401,14,20.555104941917882,65.44483076371617,0.0,"[1.0859635656392808, 5.099912088683919, 5.898963240277898, 0.8756627380126004, 5.013145921282921, 0.9871328425657776, 0.6356365971263429, 0.0, 0.23238508344989267, 0.0, 0.3812838822113502, 0.2596167849995909, 0.048551698950825735, 0.03685049871748764]"
NSGA_II,261401,15,17.491579499743374,88.41465756596754,0.0,"[1.4047006676096685, 3.39066533305612, 4.353315931385102, 2.7958841478493714, 2.908483799613563, 0.24120539826450585, 0.8327450829815415, 0.38084707750815844, 0.9158248638676636, 0.16740400044318643, 0.0, 0.07195265801212834, 0.017777029007433977, 0.01077351014492836]"
NSGA_II,261401,16,21.37403699938066,59.62751635036014,0.0,"[1.5331055894548462, 5.571998675708829, 5.8110799600531555, 1.1132557784000976, 3.063984278994682, 2.0643177826342245, 0.7062023919196043, 0.6126321086799478, 0.0, 0.41757225718086327, 0.22559093060175392, 0.12196271732906105, 0.0, 0.1323345284235938]"
